-----------------	0	-------------------
delay	0.00228527
day	0.00228527
satellit	0.00228527
data	0.00228527
southern	0.00228527
analysi	0.00228527
site	0.00228527
led	0.00228527
identifi	0.00228527
sever	0.00228527
along	0.00228527
wast	0.00228527
chang	0.00228527
china	0.00228527
south	0.00228527
confirm	0.00228527
like	0.00228527
sea	0.00228527
cours	0.0017716
preliminari	0.00161855
previous	0.00161855
releas	0.00161855
identif	0.00161855
pursu	0.00161855
earli	0.00161855
inact	0.00161855
disappear	0.00161854
crash	0.00152784
indian	0.00152784
origin	0.00152409
wreckag	0.00151786
airlin	0.00149443
defend	0.00125783
direct	0.00119598
militari	0.00107766
report	0.000893985
month	0.00084925
ocean	0.000760626
flight	0.000663866
plane	0.000519269
razak	0.000455285
occas	0.000455285
relay	0.000455285
detect	0.000455285
prime	0.000455284
later	0.000455284
inform	0.000455284
order	0.000455284
immedi	0.000455284
najib	0.000455284
malacca	0.000455283
strait	0.000455283
two	0.000357588
radar	0.000252415
minist	0.000241938
malaysian	0.000148989
hour	0.000136957
said	7.69349e-05
australia	5.21482e-06
follow	3.03144e-06
ago	3.03131e-06
ap	3.03128e-06
—	3.03128e-06
canberra	3.03127e-06
vanish	3.03019e-06
seen	3.02977e-06
veer	3.02954e-06
object	3.02896e-06
wasnt	3.02866e-06
failur	3.02818e-06
say	3.02488e-06
board	1.3919e-06
id	1.35341e-06
posit	1.34665e-06
777	1.33878e-06
passeng	1.31262e-06
crew	1.30154e-06
239	1.271e-06
wors	1.20511e-06
boe	1.15692e-06
shot	8.77993e-07
probabl	4.24185e-07
garcia	7.00057e-10
base	5.40337e-10
anyon	3.82339e-10
diego	3.57887e-10
yank	2.92547e-10
secret	2.61256e-10
phenomena	2.25895e-10
newsworthi	2.25892e-10
unexplain	2.25891e-10
defin	2.24535e-10
circumst	2.22491e-10
longer	2.22268e-10
ot	1.91437e-10
airport	1.58091e-10
confus	1.42661e-10
that	1.39029e-10
late	1.38568e-10
baltimor	1.19664e-10
-----------------	1	-------------------
squar	0.00360395
area	0.00311668
find	0.00279158
expand	0.00279155
would	0.00279155
measur	0.00279154
fail	0.00279154
trace	0.00279154
vastli	0.00279154
initi	0.00279154
60000	0.00279154
announc	0.00279153
seab	0.00266445
author	0.00227074
23000	0.00213198
schedul	0.00182858
permit	0.00182858
sail	0.00182858
weather	0.00182858
wednesday	0.00182858
mile	0.00180198
kilomet	0.00177568
air	0.00154769
conduct	0.00152993
month	0.00150263
center	0.0012363
new	0.00118732
phase	0.00118732
survey	0.000964992
plane	0.000943095
ship	0.000743528
said	0.000430522
agenc	9.12571e-05
citi	9.12566e-05
agre	9.12564e-05
weekend	9.12563e-05
coordin	9.12563e-05
met	9.12563e-05
