-----------------	0	-------------------
may	0.00769896
famili	0.00545984
love	0.0047209
wherev	0.00450816
send	0.00450816
messag	0.00450816
wrote	0.00431265
arm	0.00431265
angel	0.00431265
song	0.00431265
find	0.00431265
comfort	0.00431265
local	0.00431265
releas	0.0041119
balloon	0.0041119
hope	0.00367799
dedic	0.00343801
white	0.00312801
one	0.00287536
pray	0.00274572
sign	0.00242117
wall	0.00225015
public	0.00225015
import	0.00215709
give	0.0016966
peopl	0.00150867
nathan	0.00141797
member	0.00138015
tribut	0.00127349
end	0.000523018
also	0.000523018
urg	0.000523018
found	0.000386099
come	0.000307361
—	0.000220678
vow	0.000220678
jet	0.000220678
ap	0.000220678
airlin	0.000220678
desper	0.000220678
symbol	0.000220678
sunday	0.000220678
plane	0.000183026
form	0.000176051
closur	0.000176051
soon	0.00015368
back	0.00015368
aboard	0.000145839
petit	0.000125338
search	0.000106035
truth	0.000103894
lumpur	8.01907e-05
kuala	8.01907e-05
anniversari	7.37668e-05
mark	7.37668e-05
wore	7.2976e-05
tshirt	5.57858e-05
never	2.12014e-05
chines	1.54095e-05
good	1.50337e-05
us	1.50337e-05
happen	1.50337e-05
hand	1.50337e-05
god	1.50337e-05
truli	1.50337e-05
somehow	1.50337e-05
someday	1.50337e-05
began	7.70476e-06
especi	7.70476e-06
incid	7.70476e-06
critic	7.70476e-06
sinc	7.70476e-06
tighten	7.70476e-06
respons	7.70476e-06
malaysia	3.08701e-11
8	1.27881e-20
head	9.04873e-21
held	6.09681e-21
239	3.92335e-21
depart	2.5087e-21
vanish	2.40259e-21
2014	1.52107e-21
march	8.46889e-22
show	4.97581e-29
cousin	2.56823e-70
poem	2.34952e-70
ann	1.87177e-70
man	1.47853e-70
want	9.6324e-122
determin	5.06559e-122
jiang	4.9321e-122
hui	4.63652e-122
flight	1.18619e-145
disappear	8.87209e-152
possibl	7.55663e-183
370	1.33383e-190
templ	1.04467e-203
buddhist	9.04694e-204
dozen	6.14749e-204
central	5.25876e-204
-----------------	1	-------------------
know	0.00929436
dont	0.00929436
meet	0.00822345
hidden	0.0052624
search	0.00345907
ann	0.00122052
poem	0.00122052
cousin	0.00122052
man	0.00122052
daisi	0.00109303
dedic	0.000952789
aboard	0.000732481
one	0.000724697
plane	0.000279138
urg	2.66176e-05
also	2.66176e-05
end	2.66176e-05
found	2.38323e-05
attend	8.3364e-06
plan	8.3364e-06
wont	8.3364e-06
use	8.3364e-06
petit	3.47392e-06
intens	2.95054e-06
trace	2.95054e-06
boe	2.95054e-06
despit	2.95054e-06
777	2.95054e-06
daughter	3.80432e-14
truth	7.89707e-20
sign	6.0347e-108
speech	3.99798e-155
gave	1.65878e-169
didnt	7.144e-172
read	2.95921e-232
nathan	1.0216e-232
find	1.97642e-244
local	1.97641e-244
song	1.97641e-244
wrote	1.97641e-244
comfort	1.97641e-244
angel	1.97641e-244
arm	1.97641e-244
tribut	6.28284e-319
xd	0
blind	0
okay	0
xi	0
626	0
directli	0
computer	0
eu	0
cart	0
couldv	0
blink	0
15000	0
expir	0
ring	0
drove	0
year	0
ex	0
replay	0
happen	0
friggen	0
ev	0
space	0
argu	0
tomorrow	0
ironi	0
carl	0
card	0
care	0
unwil	0
rational	0
wholeheartedli	0
compulsori	0
outcri	0
british	0
shown	0
er	0
es	0
honest	0
profess	0
515	0
rebel	0
silent	0
zap	0
renam	0
implod	0
engin	0
veteran	0
1000000	0
satellit	0
similiar	0
begin	0
importantli	0
price	0
rerout	0
landfal	0
apocalyps	0
-----------------	2	-------------------
member	0.00521446
photo	0.00428641
stage	0.00428641
went	0.00428641
30	0.00428641
later	0.00428641
group	0.00428641
pictur	0.00379823
crew	0.00379823
word	0.00379823
play	0.00379823
video	0.00379823
airplan	0.00379823
100	0.00379823
bear	0.00379823
speech	0.00347079
man	0.00344004
cousin	0.00344004
ann	0.00344004
poem	0.00344004
wore	0.00340366
daisi	0.00278873
gather	0.00277008
dedic	0.00263423
tshirt	0.00261299
famili	0.00259915
white	0.00257601
tribut	0.00255388
peopl	0.00243683
passeng	0.00225573
aboard	0.00205826
one	0.00200559
kelli	0.00188208
wen	0.00188208
anniversari	0.00172794
mark	0.00172794
china	0.00143966
plane	0.00138501
mall	0.00138085
lumpur	0.0013744
kuala	0.0013744
husband	0.00136375
hidden	0.001148
whose	0.00106491
search	0.000515803
wall	0.000262779
public	0.000262779
sign	0.000186719
grace	0.000114652
gave	0.000114652
airlin	0.000110908
vow	0.000110908
jet	0.000110908
—	0.000110908
symbol	0.000110908
ap	0.000110908
desper	0.000110908
sunday	0.000110908
mother	4.39873e-05
hui	9.62538e-06
determin	9.62538e-06
jiang	9.62538e-06
want	6.54753e-06
malaysia	3.46358e-29
answer	9.16148e-49
phone	1.67817e-60
never	3.6313e-69
isnt	1.48935e-73
disappear	1.93326e-137
balloon	1.21503e-148
releas	4.31952e-149
370	2.03922e-149
give	9.4991e-181
dont	6.39434e-232
know	6.17554e-232
nathan	5.14337e-263
end	1.39488e-273
urg	2.99471e-274
also	2.45173e-274
close	3.32312e-314
ground	2.94687e-314
swarm	2.35607e-314
enter	1.54432e-314
stop	1.11517e-314
rel	7.85564e-322
central	4.94066e-324
buddhist	4.94066e-324
