-----------------	0	-------------------
diego	1.88219
garcia	1.85463
secret	1.46916
base	1.12932
yank	0.678961
airport	0.488992
ot	0.471239
told	0.386392
follow	0.342115
australia	0.313342
shortstop	0.311345
spanish	0.311345
golfer	0.311345
baltimor	0.311345
70	0.311337
investig	0.304879
confus	0.302283
late	0.279121
that	0.223511
art	0.164949
design	0.164917
screen	0.164894
im	0.16291
system	0.151214
protect	0.148073
b777	0.143821
state	0.130052
know	0.121299
dead	0.113347
threat	0.10549
he	0.100482
air	0.0989284
ask	0.0983876
keep	0.084693
fool	0.077635
see	0.0762081
militari	0.074478
board	0.0743992
flight	0.07391
american	0.0724707
pilot	0.0695619
naval	0.0681538
middl	0.0626374
path	0.0582794
cargo	0.0555071
radar	0.0551132
fail	0.0516165
smoothli	0.0493854
defens	0.0480562
practic	0.0437933
night	0.0426997
show	0.0412239
get	0.0394526
recoveri	0.0386022
russian	0.0382191
navi	0.03774
who	0.0370877
reynold	0.0370877
oop	0.0370877
seal	0.0370842
load	0.0370831
kennedi	0.0370811
method	0.0370772
simul	0.0370729
18	0.037041
open	0.0363816
aircraft	0.0342999
aboard	0.0338088
mention	0.0331351
gp	0.0326731
home	0.0324751
comput	0.0322677
sorri	0.0300578
engin	0.0297955
crash	0.0279529
minut	0.0261754
near	0.0259867
plane	0.0248027
piraci	0.0246794
intellig	0.024603
read	0.0245607
land	0.024185
phone	0.0228045
delusion	0.0221491
pleas	0.0217589
comment	0.0212269
quit	0.0211642
track	0.0203055
intend	0.0189881
gladli	0.0184162
right	0.0177118
necessarili	0.0165529
terrorist	0.0161124
caus	0.0160263
yahoo	0.0160234
commun	0.0157661
took	0.0154258
coupl	0.0151919
check	0.0151288
bumbl	0.0149209
-----------------	1	-------------------
hostil	1.15714
jet	1.03306
aircraft	0.897856
would	0.824604
commerci	0.81291
cours	0.806691
911	0.791769
flight	0.73629
fli	0.698867
airlin	0.691208
scrambl	0.582072
wasnt	0.490765
object	0.474452
could	0.471089
pilot	0.465382
transpond	0.42605
veer	0.411192
commun	0.399605
case	0.392387
radar	0.386637
fighter	0.369991
iff	0.369309
wrong	0.368385
said	0.360758
plane	0.360479
chang	0.35607
look	0.355357
regardless	0.348496
shoot	0.34474
anyth	0.342458
investig	0.335204
went	0.332065
make	0.327607
time	0.322093
sure	0.321402
whether	0.316105
turn	0.312666
plan	0.287379
identifi	0.285323
nonsens	0.283077
reason	0.267206
differ	0.265264
neglig	0.264475
taken	0.257455
someth	0.251401
view	0.248511
see	0.246744
us	0.245432
theyr	0.242416
return	0.238324
procedur	0.234312
consid	0.226637
rmaf	0.226276
follow	0.220911
new	0.219824
way	0.21834
malaysia	0.217748
matter	0.217717
anoth	0.215677
right	0.210736
civilian	0.210475
monitor	0.209743
threat	0.209076
want	0.20809
probabl	0.206149
suspici	0.204332
even	0.203296
planei	0.202689
mean	0.20155
determin	0.19991
littl	0.199837
altitud	0.198301
seen	0.197963
gross	0.19705
one	0.196563
didnt	0.194675
ufo	0.194596
absolut	0.194176
still	0.19322
unless	0.192025
rememb	0.191348
intercept	0.188608
part	0.18856
4	0.188477
govt	0.187995
mr	0.186824
respond	0.185223
signal	0.18289
deem	0.182205
cheap	0.182171
issu	0.181121
attack	0.178685
guess	0.177821
sent	0.177438
safeti	0.176916
contact	0.176598
secur	0.17635
respons	0.176027
faa	0.175372
york	0.174412
-----------------	2	-------------------
what	2.23411
shoot	1.98732
fighter	1.98352
point	1.92885
send	1.80036
your	1.69146
go	1.5439
ask	1.21683
hishammuddin	1.13043
jet	0.655686
use	0.436418
bs	0.420594
must	0.395216
