-----------------	0	-------------------
east	8.37718
ukrain	8.19645
field	6.87651
ruin	3.15416
shot	3.06831
got	2.68042
look	2.67942
wast	2.5014
quit	2.50098
articl	2.50089
focu	2.49817
dumb	2.49655
time	1.82405
come	0.582314
decept	0.574406
repaint	0.573648
use	0.572919
hijack	0.572557
everyon	0.57247
cia	0.571684
mh17	0.569551
later	0.560143
mh370	0.443018
stop	0.404196
cargo	0.344984
lithium	0.339209
fire	0.33568
batteri	0.334188
due	0.328714
entir	0.312265
know	0.272291
crash	0.265724
whole	0.258214
billion	0.25736
economi	0.255402
malaysian	0.254882
caus	0.253665
place	0.203616
1	0.158579
like	0.144019
indonesia	0.108429
ground	0.102176
binocular	0.0993856
mean	0.0988117
reason	0.0931938
see	0.0825806
involv	0.0800335
satellit	0.07514
concept	0.0738832
turn	0.0714787
els	0.0713739
found	0.0599347
never	0.0568192
anyon	0.0507911
australia	0.044773
behalf	0.0386722
go	0.0381051
search	0.0341196
one	0.0297055
area	0.0271675
world	0.0255427
someth	0.0250138
locat	0.0237318
away	0.0237118
transpond	0.0224125
want	0.020698
china	0.0205783
board	0.0189457
pakistan	0.0186372
unusu	0.01796
quiet	0.0171175
coverup	0.0165478
need	0.0149586
give	0.0147163
wrong	0.0129098
us	0.0119596
continu	0.0118817
plane	0.0110823
northern	0.0104151
must	0.0101735
right	0.00945858
thier	0.00921804
widen	0.00901014
desper	0.00874575
known	0.00849468
badli	0.0084648
issu	0.00836774
etc	0.00836529
plain	0.00830812
taxpay	0.0081592
australian	0.00782605
explain	0.00764315
bill	0.00756785
usual	0.00745779
case	0.00714497
foot	0.007101
intrigu	0.00668783
simpl	0.00649516
predict	0.00578881
understand	0.00575533
-----------------	1	-------------------
chines	10.0497
respons	6.38856
passeng	4.35463
man	4.21581
look	4.1545
find	3.89392
plane	2.89806
hat	2.29915
tinfoil	2.28605
fold	2.22544
here	2.14403
one	1.76207
head	1.69078
shoulder	1.52907
world	1.46323
like	1.41925
nice	1.37586
tell	1.37132
capitol	1.34372
east	1.0818
good	1.07664
read	1.07605
question	1.07396
field	0.993847
area	0.967315
satalit	0.965759
pilot	0.941462
land	0.882964
locat	0.86119
northern	0.805929
pakistan	0.77772
american	0.753635
ukrain	0.713978
us	0.668059
need	0.643762
search	0.617915
late	0.542395
plate	0.536732
interest	0.53482
watch	0.534803
book	0.534141
tidbit	0.534083
littl	0.533587
licens	0.532803
space	0.521994
never	0.487694
found	0.39937
mh370	0.363431
correct	0.342067
desper	0.329246
someth	0.319277
unusu	0.303857
quiet	0.292702
wrong	0.289033
continu	0.288888
couldnt	0.277211
board	0.263619
bid	0.257486
seen	0.243128
although	0.242264
highest	0.242221
crash	0.240226
miss	0.23302
probabl	0.225548
terrorist	0.225418
mani	0.225208
butt	0.218499
may	0.211456
anyon	0.195234
ramp	0.190246
compound	0.189627
take	0.189118
china	0.188619
theyll	0.186223
island	0.180364
everi	0.179429
disappear	0.171126
deal	0.170618
seafloor	0.169935
sit	0.162353
de	0.161711
immedi	0.15754
cours	0.139311
part	0.137975
paint	0.134807
greater	0.134324
map	0.133602
number	0.127928
shot	0.125168
see	0.116991
next	0.114944
gain	0.105745
still	0.103806
secret	0.103665
least	0.0897817
away	0.0884654
concept	0.0777915
mysteri	0.0751309
satellit	0.0748064
widen	0.066453
-----------------	2	-------------------
beam	6.61908
alien	6.61523
ship	6.61434
mother	6.61306
plane	2.88169
bs	2.09069
continu	2.08904
correct	0.82958
area	0.760309
deep	0.737615
ocean	0.646315
anyth	0.606631
board	0.561202
want	0.559655
unusu	0.553443
someth	0.54785
look	0.531833
quiet	0.527332
desper	0.497723
southern	0.481415
wrong	0.473037
search	0.458309
china	0.435868
american	0.42611
that	0.382935
find	0.368253
need	0.324992
right	0.320418
transpond	0.314222
