-----------------	0	-------------------
squar	0.00541528
aircraft	0.0044564
agenc	0.00270764
join	0.00270764
12	0.00270764
joint	0.00270764
centr	0.00270764
ship	0.00270764
across	0.00270764
militari	0.00270764
11	0.00270764
32	0.00270764
52000	0.00270764
support	0.00238823
patrol	0.00238822
effort	0.00238822
coordin	0.00231968
mile	0.00210079
continu	0.0018544
friday	0.00180769
km	0.00143445
ocean	0.000895151
would	0.000888729
us	0.000875905
alway	0.000372779
navi	2.98553e-05
mission	8.18941e-06
return	4.09472e-06
fifth	4.09472e-06
wait	4.09469e-06
record	4.09461e-06
submarin	4.09459e-06
meter	4.09457e-06
gone	4.09452e-06
feet	2.52972e-06
searcher	4.12517e-07
send	1.4663e-08
larg	1.45791e-08
safeti	1.45666e-08
mechan	1.45603e-08
frustrat	1.45288e-08
automat	1.45246e-08
exce	1.45246e-08
45	1.45016e-08
air	5.77701e-09
float	5.43241e-09
hold	5.08445e-09
end	5.05365e-09
pressur	4.69205e-09
disappear	4.61386e-09
beij	4.05222e-09
surfac	3.78943e-09
still	3.25504e-09
famili	2.79629e-09
houston	2.72943e-09
shift	2.64258e-09
like	2.6392e-09
three	2.58636e-09
sight	2.55047e-09
focu	2.53862e-09
monday	2.48054e-09
debri	2.46404e-09
day	2.44892e-09
board	2.39458e-09
marshal	2.26656e-09
retir	2.16638e-09
angu	2.10121e-09
chief	1.64068e-09
oper	1.11591e-09
suggest	7.25631e-10
flight	4.03412e-10
floor	7.12836e-12
hope	2.47961e-12
post	1.43102e-12
im	8.42873e-13
think	7.08051e-13
seen	5.85707e-13
sure	2.99443e-13
heard	1.74717e-13
everi	1.58116e-13
compani	1.23866e-13
said	1.16404e-13
around	8.52606e-14
happen	6.66664e-14
conspiraci	4.64521e-14
live	4.28356e-14
expert	3.42508e-14
theori	2.92634e-14
4000	2.57461e-14
undersea	2.28236e-14
definit	1.75116e-14
hour	1.68788e-14
dale	1.66924e-14
actual	1.21133e-14
mention	9.4012e-15
mean	8.07894e-15
shotdown	8.0331e-15
cours	7.8588e-15
3	6.39043e-15
show	6.38179e-15
-----------------	1	-------------------
complet	0.00359399
say	0.00359399
within	0.00359399
journal	0.00359399
street	0.00359399
wall	0.00359399
wednesday	0.00359399
toni	0.00359399
quot	0.00359399
abbott	0.00295449
prime	0.00282731
australian	0.00278416
week	0.00245709
underwat	0.00240269
believ	0.00188245
minist	0.00173346
stop	0.00125571
dont	0.00125571
wreckag	0.000774196
newspap	0.000715793
ask	0.000715793
chang	0.000715793
clarifi	0.000715793
offic	0.000715793
comment	0.000715789
call	0.000715786
reconsid	0.000616964
regroup	0.000616964
reuter	0.000608778
suggest	0.000519789
drone	0.000482522
find	0.000469554
may	0.000380364
support	0.000346061
patrol	0.000346061
effort	0.00034606
author	0.000257145
aircraft	0.000241624
us	0.000133074
area	8.99726e-05
would	8.1275e-05
close	6.21955e-05
remain	6.21952e-05
discuss	6.21951e-05
spoken	6.2195e-05
razak	6.2195e-05
najib	6.2195e-05
thursday	6.2195e-05
contact	6.21949e-05
two	6.19724e-05
malaysian	4.53906e-05
without	4.40203e-05
almost	4.402e-05
past	4.402e-05
batteri	4.40187e-05
expect	4.40177e-05
life	4.39644e-05
focus	3.43151e-05
turn	3.29006e-05
take	1.71577e-05
month	1.71576e-05
estim	1.71574e-05
hunt	1.71536e-05
wrong	1.71348e-05
signal	1.39974e-05
previou	1.30226e-05
dish	2.72524e-08
limit	6.06643e-09
moon	4.08684e-09
mar	4.08684e-09
walk	3.94358e-09
expens	1.71141e-09
bomber	1.22552e-09
fighter	1.22552e-09
escort	1.22552e-09
regularli	1.2252e-09
bear	1.21731e-09
territori	1.20756e-09
bodi	1.20281e-09
action	8.63479e-10
copi	8.63264e-10
metal	7.68041e-10
look	7.49392e-10
stealth	6.47661e-10
scoop	6.47661e-10
properti	6.47661e-10
flow	6.47613e-10
compet	6.46931e-10
asian	6.4687e-10
cash	6.4333e-10
found	5.37862e-10
one	5.04536e-10
crash	4.99702e-10
think	4.61322e-10
well	4.36749e-10
mayb	3.98904e-10
china	3.98823e-10
sub	3.96582e-10
fuel	3.71024e-10
someon	3.43197e-10
-----------------	2	-------------------
also	0.00394441
reduc	0.0039444
focus	0.00337392
analysi	0.00287058
come	0.00287058
base	0.00287058
confirm	0.00287058
initi	0.00287058
carri	0.00228309
residu	0.00228309
phoenix	0.00228309
owner	0.00228309
intern	0.00228309
monitor	0.00228309
care	0.00228308
box	0.00197575
black	0.00197574
equip	0.00197442
risk	0.00197441
dive	0.0019744
signal	0.00188542
wrong	0.00168696
month	0.00168696
hunt	0.00168696
estim	0.00168696
take	0.00168696
area	0.00156833
believ	0.00155627
us	0.00142834
navi	0.00142293
depth	0.00121079
drone	0.00113139
underwat	0.00110983
may	0.000973475
previou	0.000929391
plane	0.00091184
two	0.000869788
author	0.000590476
daniel	0.00046734
spokesman	0.00046734
junior	0.00046734
grade	0.00046734
time	0.000467339
statement	0.000467339
first	0.000467339
descend	0.000467335
locat	0.000135227
ping	0.000135223
seri	0.000135223
center	0.000135223
led	0.000135223
dwindl	6.38742e-06
kay	6.38742e-06
unpreced	6.38742e-06
deepest	6.38395e-06
reuter	6.03223e-06
jetlin	3.9655e-06
soon	3.53423e-06
australia	3.45575e-06
level	3.43659e-06
ever	3.43373e-06
miss	3.43251e-06
put	3.42882e-06
might	3.427e-06
indian	3.42669e-06
hope	2.22233e-07
degre	1.27667e-08
styrofoam	7.76441e-09
caviti	6.61935e-09
winter	4.25142e-09
wet	4.25141e-09
migrat	4.25141e-09
007	3.83105e-09
tower	3.36896e-09
percent	3.30409e-09
compar	3.30409e-09
vision	3.30408e-09
bubbl	3.30408e-09
essenti	3.30408e-09
ruptur	3.30408e-09
spoil	3.30408e-09
incorrect	3.30408e-09
seper	3.30408e-09
accuraci	3.30408e-09
easili	3.30408e-09
shrink	3.30408e-09
weak	3.30408e-09
undetect	3.30408e-09
ga	3.30407e-09
plastic	3.30407e-09
therefor	3.30406e-09
collect	3.30406e-09
gene	2.40251e-09
pool	2.40251e-09
nut	2.40251e-09
fuel	2.23366e-09
intens	1.15436e-09
someth	1.15345e-09
stray	9.37507e-10
well	4.16592e-10
-----------------	3	-------------------
still	0.00356601
beij	0.00356601
hold	0.00356601
famili	0.00356601
pressur	0.00356601
float	0.00356601
hope	0.00308916
wreckag	0.00300098
board	0.00275351
disappear	0.00275351
flight	0.00275351
find	0.00273485
lumpur	0.00243503
kuala	0.00243503
searcher	0.00236298
suggest	0.00216444
plane	0.00137706
would	0.00107357
dont	0.000872831
stop	0.000872831
regroup	0.00072976
reconsid	0.00072976
effort	0.000677083
patrol	0.000677082
support	0.000677081
yet	0.000581168
sign	0.00051999
aircraft	0.00047233
continu	0.000306433
us	0.000170574
approach	5.27459e-05
matter	5.27459e-05
confer	5.27459e-05
news	5.2744e-05
told	5.27424e-05
report	2.53099e-05
perri	2.53099e-05
michael	2.53099e-05
birsel	2.53099e-05
robert	2.53099e-05
alzaquan	2.53099e-05
amer	2.53099e-05
hamzah	2.53099e-05
edit	2.53099e-05
addit	2.53097e-05
dwindl	2.20323e-05
kay	2.20323e-05
unpreced	2.20323e-05
deepest	2.20307e-05
jetlin	2.16169e-05
soon	2.1616e-05
put	2.16159e-05
australia	2.16158e-05
indian	2.16157e-05
level	2.16156e-05
miss	2.16148e-05
might	2.16129e-05
ever	2.16103e-05
underwat	1.06652e-05
perth	9.83666e-06
quot	7.74863e-06
wall	7.74728e-06
toni	7.74721e-06
wednesday	7.74719e-06
street	7.74698e-06
journal	7.74675e-06
within	7.74614e-06
say	7.74325e-06
complet	7.74181e-06
come	3.55326e-06
initi	3.55323e-06
confirm	3.55278e-06
analysi	3.55198e-06
base	3.55189e-06
australian	1.69748e-06
believ	1.16127e-07
minist	1.02901e-07
citizen	9.20599e-10
wast	8.26314e-10
deeper	7.40923e-10
money	7.39582e-10
dead	4.49378e-10
orang	3.80375e-10
million	2.47125e-10
search	2.43791e-10
seek	2.39619e-10
comm	2.3961e-10
wherev	2.39609e-10
alia	2.39601e-10
ahead	2.39495e-10
hey	2.17167e-10
funni	2.08824e-10
give	2.07036e-10
go	1.93754e-10
predict	1.83499e-10
wonder	1.82492e-10
stori	1.77244e-10
nonsens	1.72488e-10
quit	1.69073e-10
stupid	1.52934e-10
-----------------	4	-------------------
air	0.0053425
end	0.0053425
debri	0.00267125
three	0.00267125
shift	0.00267125
chief	0.00267125
marshal	0.00267125
monday	0.00267125
focu	0.00267125
angu	0.00267125
sight	0.00267125
houston	0.00267125
retir	0.00267125
oper	0.00267125
day	0.00267124
like	0.00267124
coordin	0.00241542
focus	0.00199036
floor	0.00181576
surfac	0.00180036
take	0.000995184
hunt	0.000995183
estim	0.000995182
month	0.000995179
wrong	0.000995177
ocean	0.000949984
would	0.000933584
reduc	0.000776659
also	0.000776657
previou	0.000713834
drone	0.000682041
underwat	0.000668725
two	0.00051035
may	0.000500242
author	0.000305712
area	0.000280676
squar	0.000253355
52000	0.000126678
32	0.000126677
11	0.000126677
militari	0.000126677
across	0.000126677
ship	0.000126677
centr	0.000126677
joint	0.000126677
12	0.000126677
join	0.000126677
agenc	0.000126677
navi	0.000113497
mile	8.92333e-05
friday	8.49498e-05
km	7.77349e-05
45	2.8926e-05
automat	2.89251e-05
exce	2.8925e-05
frustrat	2.89249e-05
mechan	2.89235e-05
safeti	2.89232e-05
larg	2.89228e-05
send	2.89192e-05
reuter	2.43047e-05
indian	2.33567e-05
miss	2.33553e-05
ever	2.33551e-05
level	2.33543e-05
might	2.33529e-05
put	2.33462e-05
australia	2.33427e-05
soon	2.33238e-05
jetlin	2.32023e-05
feet	2.30306e-05
deepest	2.27225e-05
dwindl	2.27216e-05
kay	2.27216e-05
unpreced	2.27216e-05
malaysian	1.69073e-05
hope	1.22052e-05
chang	1.05531e-05
clarifi	1.0553e-05
offic	1.0553e-05
comment	1.05517e-05
newspap	1.05512e-05
ask	1.05502e-05
call	1.05467e-05
perth	1.00292e-05
suggest	4.4728e-06
us	1.03205e-07
massiv	2.88897e-09
kilomet	5.54443e-10
per	5.06484e-10
20000	4.4068e-10
inch	3.91109e-10
think	3.45218e-10
one	3.20738e-10
lb	2.85864e-10
1	2.7931e-10
correct	2.31227e-10
im	2.12866e-10
search	1.93526e-10
atmospher	1.77049e-10
-----------------	5	-------------------
approach	0.00308963
matter	0.00308963
confer	0.00308963
told	0.00308962
news	0.00308962
remain	0.00290425
discuss	0.00290425
spoken	0.00290425
razak	0.00290425
thursday	0.00290425
contact	0.00290425
najib	0.00290425
close	0.00290423
lumpur	0.00280454
kuala	0.00280454
malaysian	0.00237129
prime	0.00188729
alway	0.00150508
abbott	0.00148945
report	0.00148206
addit	0.00148206
perri	0.00148206
michael	0.00148206
birsel	0.00148206
robert	0.00148206
edit	0.00148206
hamzah	0.00148206
alzaquan	0.00148206
amer	0.00148206
minist	0.00133553
two	0.00133371
continu	0.00101845
scour	5.30034e-05
even	4.83817e-05
best	4.83816e-05
vow	4.83815e-05
paus	4.83815e-05
hishammuddin	4.83815e-05
hussein	4.83815e-05
defenc	4.83815e-05
could	4.83777e-05
malaysia	3.20132e-05
put	1.59732e-05
might	1.59732e-05
miss	1.59732e-05
indian	1.59732e-05
australia	1.59732e-05
jetlin	1.59726e-05
level	1.59722e-05
ever	1.59669e-05
soon	1.59658e-05
dwindl	1.59641e-05
kay	1.59641e-05
unpreced	1.59641e-05
deepest	1.59573e-05
turn	1.26082e-05
equip	9.75982e-06
risk	9.75913e-06
dive	9.75788e-06
focus	9.30751e-06
perth	5.44626e-06
floor	4.97532e-06
wrong	4.65416e-06
take	4.65406e-06
month	4.65376e-06
estim	4.65371e-06
hunt	4.65084e-06
previou	3.13217e-06
sign	7.24253e-07
life	4.19137e-07
almost	4.16796e-07
past	4.16713e-07
batteri	4.16286e-07
expect	4.14904e-07
without	4.08032e-07
reduc	5.43957e-08
also	5.25644e-08
richard	9.83077e-09
deviat	2.69985e-09
search	1.51238e-09
keep	8.48943e-10
perspect	5.1997e-10
view	5.19738e-10
fli	4.46385e-10
detect	3.76615e-10
use	3.57781e-10
1	3.18564e-10
receiv	3.11729e-10
big	2.83104e-10
around	2.68239e-10
land	2.63775e-10
tha	2.62211e-10
everi	2.51564e-10
idea	2.47602e-10
head	2.46222e-10
somewher	2.21315e-10
zone	2.0954e-10
start	2.05745e-10
go	1.97001e-10
think	1.96231e-10
-----------------	6	-------------------
mission	0.00581068
depth	0.00339057
meter	0.00290534
record	0.00290534
submarin	0.00290534
fifth	0.00290534
return	0.00290534
gone	0.00290533
wait	0.00290533
feet	0.00248534
descend	0.00242003
time	0.00242003
first	0.00242003
junior	0.00242003
grade	0.00242003
spokesman	0.00242003
daniel	0.00242003
statement	0.00242003
friday	0.0019296
navi	0.00191373
us	0.00190782
searcher	0.00189005
previou	0.0017884
yet	0.00161972
sign	0.00141958
find	0.000815397
monitor	0.000661036
owner	0.000661035
residu	0.000661035
phoenix	0.000661035
intern	0.000661034
carri	0.000661029
care	0.000661028
dive	0.000581269
equip	0.000581267
risk	0.000581257
plane	0.000412107
safeti	0.000306442
send	0.000306442
mechan	0.000306442
exce	0.000306442
automat	0.000306442
45	0.000306441
larg	0.000306441
frustrat	0.00030644
floor	0.000216085
surfac	0.00019822
km	0.000155815
ocean	0.000105406
miss	1.73217e-05
level	1.73211e-05
might	1.7321e-05
ever	1.73182e-05
indian	1.73171e-05
australia	1.73121e-05
soon	1.73081e-05
put	1.73081e-05
jetlin	1.72243e-05
malaysian	1.31713e-05
scour	1.11761e-05
reuter	1.03447e-05
dragon	4.36694e-09
fusion	3.66167e-09
kidnap	1.82587e-09
famou	1.82587e-09
thug	1.82587e-09
immor	1.82587e-09
sovereign	1.82587e-09
airbas	1.82587e-09
garcia	1.82337e-09
foreign	1.71502e-09
code	1.70538e-09
diego	1.56125e-09
bluefin	9.08137e-10
m	8.13717e-10
rate	6.79807e-10
auv	5.23648e-10
commerci	5.20545e-10
avail	5.17879e-10
design	5.11766e-10
suv	4.66312e-10
6000	4.28792e-10
destin	4.0566e-10
buti	4.05647e-10
leav	4.05645e-10
mani	3.79715e-10
4500	3.62533e-10
21	3.49576e-10
isnt	3.25566e-10
sensor	2.41356e-10
typic	2.39852e-10
use	2.3371e-10
max	2.32548e-10
reach	2.27542e-10
name	2.20586e-10
world	2.00863e-10
market	1.99516e-10
beyond	1.6423e-10
practic	1.61016e-10
margin	1.60244e-10
-----------------	7	-------------------
week	0.00388993
frustrat	0.00312297
45	0.00312297
automat	0.00312297
exce	0.00312297
larg	0.00312297
mechan	0.00312297
safeti	0.00312297
send	0.00312297
almost	0.00293812
past	0.00293812
expect	0.00293812
batteri	0.00293812
without	0.00293812
life	0.00293812
black	0.00273396
box	0.00273396
feet	0.00242179
turn	0.00240465
surfac	0.00206494
floor	0.00200001
signal	0.00195291
km	0.00162923
yet	0.00156913
two	0.0015149
depth	0.00138815
author	0.00131612
sign	0.00125149
seri	0.00117135
led	0.00117135
center	0.00117135
locat	0.00117135
ping	0.00117135
ocean	0.000969636
plane	0.000919516
find	0.000780636
may	0.000576133
believ	0.000548816
area	0.000362697
love	5.8117e-10
one	3.1065e-10
xenu	2.32065e-10
wouldnt	1.48239e-10
closur	1.41185e-10
want	1.3926e-10
found	1.31004e-10
constel	1.26959e-10
everyon	1.19683e-10
differ	1.06736e-10
know	1.06358e-10
must	1.04039e-10
confus	8.89551e-11
hybrid	7.24401e-11
took	5.81619e-11
everi	5.52263e-11
1	4.74529e-11
type	4.05304e-11
john	3.68849e-11
cruis	3.67984e-11
tom	3.67588e-11
planet	3.6158e-11
cell	3.60779e-11
home	3.46831e-11
million	3.29029e-11
relat	3.25948e-11
possibl	3.12457e-11
question	2.64422e-11
give	2.44521e-11
search	2.22874e-11
pearl	2.13203e-11
harbor	2.12399e-11
issu	2.01721e-11
incid	1.95188e-11
mid	1.95119e-11
reflect	1.95005e-11
direct	1.94389e-11
structur	1.93784e-11
alreadi	1.92865e-11
result	1.90354e-11
govern	1.89988e-11
start	1.8746e-11
keep	1.86494e-11
