-----------------	0	-------------------
wing	0.000720379
segment	0.000571135
boe	0.000541239
prime	0.000537723
malaysian	0.000526869
month	0.00049144
plane	0.000485858
miss	0.000473692
indian	0.000457806
ago	0.000454075
search	0.000437177
razak	0.00040656
first	0.000381158
ocean	0.000365816
earli	0.000362265
777	0.000346848
17	0.000321583
minist	0.000250578
breakthrough	0.000232509
discov	0.000206732
real	0.000193043
thursday	0.000158453
reuter	9.14724e-05
floor	1.35623e-08
statist	2.47982e-09
miser	1.50498e-09
legit	1.50498e-09
flag	1.50117e-09
oop	1.49195e-09
layer	8.18385e-10
digit	3.15457e-10
gear	2.0842e-10
flow	2.07626e-10
3000	1.9435e-10
aluminum	1.7408e-10
choic	1.11982e-10
anymor	9.31823e-11
cnn	8.64221e-11
never	8.47988e-11
travel	7.59766e-11
foolish	6.73017e-11
movi	6.42661e-11
ha	6.25658e-11
say	6.22876e-11
lie	5.10183e-11
earth	5.0346e-11
theyr	4.77026e-11
exactli	4.68681e-11
hmm	4.65807e-11
sound	4.61592e-11
butt	4.61385e-11
turn	4.15945e-11
wind	4.08172e-11
day	3.66137e-11
id	3.43904e-11
also	3.14177e-11
taken	3.04807e-11
moron	2.88894e-11
heaven	2.82865e-11
stink	2.82786e-11
smash	2.63385e-11
isnt	2.59239e-11
confid	2.47589e-11
short	2.40879e-11
russia	2.38694e-11
bad	2.36808e-11
job	2.36496e-11
whole	2.27655e-11
stori	2.25391e-11
man	2.15393e-11
admit	2.15321e-11
next	2.12481e-11
umm	2.01969e-11
done	1.96924e-11
michael	1.8949e-11
explos	1.88053e-11
feel	1.74278e-11
pm	1.71992e-11
light	1.7097e-11
watch	1.67702e-11
deal	1.66796e-11
thumb	1.65989e-11
planet	1.65816e-11
somehow	1.63311e-11
mexican	1.62282e-11
visit	1.57898e-11
outsid	1.57273e-11
finish	1.54759e-11
present	1.46834e-11
event	1.46246e-11
trustworthi	1.44878e-11
kartrashian	1.40296e-11
drop	1.39658e-11
polic	1.36027e-11
transpond	1.32777e-11
differ	1.31793e-11
attack	1.31054e-11
order	1.29807e-11
coverag	1.29757e-11
vanish	1.29696e-11
-----------------	1	-------------------
thursday	0.000624533
17	0.000611853
777	0.000475626
real	0.000450325
breakthrough	0.000432923
earli	0.000422901
indian	0.000412544
miss	0.00039022
discov	0.000353679
plane	0.000318746
minist	0.00031171
first	0.000309591
segment	0.000261992
boe	0.000260673
razak	0.00024191
search	0.000241331
malaysian	0.000228027
month	0.000227036
ago	0.000206274
reuter	0.000163473
prime	0.000155543
ocean	0.000154006
wing	7.23816e-05
