-----------------	0	-------------------
sq	0.0031295
km	0.00302517
million	0.00230727
truss	0.00227618
bluefin21	0.00217214
cost	0.0020624
drone	0.00196027
longhaul	0.00173895
floor	0.00170343
perth	0.00169432
matt	0.00169374
highest	0.00164328
siegel	0.00162049
navi	0.00157066
georeson	0.00151239
ping	0.00150387
compani	0.00145643
reuter	0.00144292
becom	0.00136758
radar	0.00134749
addit	0.0012887
within	0.00128619
1000	0.00127544
thousand	0.00127357
finish	0.0012631
phase	0.00124331
attempt	0.00124143
hong	0.00120002
restructur	0.00119371
11	0.00118957
patch	0.001187
shortli	0.00115806
estim	0.00115573
doubl	0.00115045
abbott	0.00114623
signal	0.00114169
screen	0.001135
23000	0.00112714
12	0.00112019
box	0.00109886
black	0.00109754
discuss	0.0010819
contact	0.00108011
carrier	0.00107025
squar	0.00105316
1600	0.00105203
place	0.00103828
ukrain	0.00103491
four	0.00103431
60000	0.00102857
percent	0.00102816
week	0.00102417
bound	0.00102292
across	0.00102242
underwat	0.00101745
prioriti	0.00101444
mh17	0.000999684
billion	0.000992679
kilomet	0.000985531
fortun	0.000981542
rescu	0.000980174
obama	0.000975743
rest	0.000970924
state	0.000961989
surfac	0.000961586
18	0.000960039
shot	0.000954851
decis	0.000951815
equip	0.000949718
sophist	0.000949168
kill	0.000946022
298	0.000937029
anoth	0.000935352
chines	0.000930507
deputi	0.00092976
shield	0.000924836
feast	0.000923225
lincoln	0.000923225
sea	0.00092195
edit	0.000904903
preliminari	0.000903906
expans	0.000902395
commerci	0.000900221
alreadi	0.000897362
technolog	0.000896325
eventu	0.00089293
relat	0.000888187
six	0.000873096
vast	0.000869785
warren	0.000858952
faint	0.000848341
commun	0.000847603
satellit	0.000842425
immedi	0.000833997
sydney	0.000832956
northwest	0.000831568
arc	0.000830846
rug	0.000827505
center	0.000826426
hishammuddin	0.000825782
-----------------	1	-------------------
troadec	0.00388581
barnacl	0.0038497
paint	0.00332798
written	0.0023582
look	0.00212361
idea	0.00181144
miracl	0.0017822
someon	0.00170736
griev	0.00164138
former	0.00163718
piec	0.00163411
process	0.00157956
explos	0.00154421
moment	0.00149017
tell	0.00147544
way	0.00141145
shed	0.00140324
crustacean	0.00136206
light	0.00136073
rais	0.0013487
belong	0.00132635
probe	0.001319
give	0.00130248
pierr	0.00129527
procur	0.00129527
tangibl	0.00129527
oneself	0.00129527
900	0.00129527
undo	0.00129527
carol	0.00129527
museum	0.00129527
bond	0.00129527
vertic	0.00124997
goe	0.00121561
violent	0.00121561
origin	0.00118629
fell	0.00117531
phrase	0.00117047
psychologist	0.00117047
walk	0.00115553
tropic	0.00115553
detach	0.0011383
water	0.00113751
agenc	0.00112743
element	0.00112522
wing	0.00111215
might	0.00110799
final	0.00110066
examin	0.00109833
employe	0.00109724
bea	0.00107809
case	0.00107709
forev	0.00106849
clue	0.00104274
flaperon	0.00100656
point	0.000991416
ad	0.000974887
coloss	0.00097379
doesnt	0.000964659
twometrelong	0.000954344
fire	0.000954177
test	0.000946731
perhap	0.000939888
die	0.000938134
key	0.000934168
fresh	0.000929654
600	0.000921521
la	0.000916702
desper	0.000914741
defenc	0.000905643
got	0.000901833
specialist	0.000898661
use	0.000896961
north	0.000896343
attach	0.000882259
closur	0.000875809
sourc	0.000874862
seek	0.000866214
inform	0.000865257
gone	0.000857929
scienc	0.00085744
whether	0.000855069
disast	0.000849783
fruitless	0.000844738
analysi	0.000843189
repres	0.000841878
warn	0.000828911
director	0.000828188
countri	0.000824506
need	0.000819756
highli	0.000817263
certainti	0.000806721
condit	0.000791577
accept	0.000789793
impact	0.000789161
unlik	0.00076947
multin	0.000768403
allow	0.000757182
help	0.000756561
focu	0.000754041
-----------------	2	-------------------
maldiv	0.00535485
shareef	0.00463204
unidentifi	0.00310926
alert	0.00221603
join	0.00215249
atol	0.00212895
wash	0.00203645
sight	0.0019566
3200	0.00161005
moham	0.00161005
local	0.00153328
archipelago	0.0014633
telephon	0.00145696
southwest	0.00138603
spot	0.00138243
island	0.00137961
northern	0.00127521
2000	0.00126382
madagascar	0.0011757
tuesday	0.00116434
mauritiu	0.00114893
nearbi	0.0010974
object	0.00109081
spokesman	0.00108544
share	0.001084
region	0.00107955
capsiz	0.00101868
honeymoon	0.00101868
male	0.00101868
barg	0.00101868
februari	0.00101868
territori	0.000991064
test	0.000969227
media	0.000959937
reunion	0.000926355
lookout	0.00092409
polic	0.000911246
ashor	0.000908964
acquir	0.000899572
presid	0.000873793
rahman	0.000868908
appear	0.000849425
azharuddin	0.000805521
panel	0.000795444
store	0.000795444
construct	0.000795444
warehous	0.000795444
liner	0.000795444
neg	0.00079544
fli	0.000792881
inspect	0.000768761
capit	0.000759823
africa	0.00074514
today	0.00074023
civil	0.000734728
low	0.000728142
late	0.000712872
resort	0.000709937
yesterday	0.000698067
offic	0.000670332
gener	0.000665691
juli	0.000664859
preserv	0.000654357
director	0.000649648
nation	0.000643958
surveil	0.000643825
african	0.000643407
refer	0.000641002
liow	0.000636865
attach	0.000625878
began	0.000625346
met	0.000618067
kilometr	0.000611106
follow	0.000610937
night	0.000609078
await	0.000601726
three	0.000595187
fresh	0.000595058
occur	0.000593614
sunday	0.000593117
possibl	0.000584429
hint	0.000582685
inexplic	0.000579544
afp	0.000573532
spark	0.000568483
largest	0.000555562
feet	0.000547542
respond	0.00054506
materi	0.00054326
tiong	0.00053799
lai	0.00053799
data	0.000535947
south	0.000534051
attent	0.000533061
seek	0.000531217
led	0.00052233
arriv	0.000517459
collect	0.00051669
along	0.000510372
eight	0.000506572
-----------------	3	-------------------
batteri	0.00437913
cockpit	0.00265818
beacon	0.00257045
control	0.00256763
expir	0.00242351
zahari	0.00192069
towelett	0.00192047
record	0.0019131
traffic	0.0018511
sunday	0.00178035
voic	0.00169491
supervisor	0.00155018
fariq	0.00153773
know	0.0014759
captain	0.00143583
radar	0.00140347
contact	0.00135427
data	0.00132333
shah	0.00129583
convers	0.00129472
abbott	0.00128412
night	0.00124946
hamid	0.00120534
copilot	0.00115594
crew	0.00115484
track	0.00114729
dont	0.00114359
ahmad	0.00112641
system	0.00110532
cabin	0.00106732
reveal	0.0010365
action	0.00103466
messag	0.00103441
mainten	0.000994445
background	0.000993941
person	0.000986112
duti	0.000985804
noth	0.000950526
either	0.000931656
