-----------------	0	-------------------
land	4.6601
ocean	4.09713
plane	3.715
crash	3.30087
somewher	2.07493
debri	1.86554
found	1.79408
water	1.64259
would	1.49506
use	1.23519
float	1.10727
bottom	1.00249
intact	0.951043
wreckag	0.87575
piec	0.872252
could	0.871299
base	0.863361
one	0.829082
part	0.809642
sank	0.785447
still	0.768616
hudson	0.762292
make	0.739559
never	0.722691
went	0.721079
militari	0.711186
made	0.667439
didnt	0.60861
search	0.603992
indian	0.588963
hijack	0.571625
sink	0.54659
look	0.533854
countri	0.531372
apart	0.523202
buy	0.518561
mayb	0.515558
also	0.509199
deep	0.507479
said	0.505508
done	0.493788
anywher	0.493282
least	0.4921
big	0.48401
chanc	0.479695
surfac	0.475989
sit	0.4735
isnt	0.469949
break	0.468053
reason	0.461716
rel	0.457249
hit	0.455777
possibl	0.451518
find	0.451024
river	0.448305
actual	0.445509
even	0.443783
far	0.440904
north	0.438314
might	0.43183
specul	0.430871
think	0.430429
way	0.423682
anoth	0.406781
life	0.400408
everyth	0.399733
believ	0.395306
without	0.392458
either	0.391822
plan	0.389917
flew	0.388212
emerg	0.383812
raft	0.382098
gone	0.379104
havent	0.374584
differ	0.368287
depth	0.367845
remot	0.36711
taken	0.365812
cushion	0.365702
mile	0.360315
ground	0.359749
jungl	0.35531
evid	0.349027
hasnt	0.348696
alway	0.348497
sens	0.348393
bodi	0.346718
someon	0.343336
sea	0.342441
island	0.341238
like	0.339727
year	0.336222
convinc	0.330508
pilot	0.323915
100	0.322745
wave	0.322223
duh	0.319241
someth	0.319231
enough	0.318568
-----------------	1	-------------------
tell	5.49464
us	5.18297
dont	0.972332
realli	0.937014
someth	0.920521
doesnt	0.918742
alreadi	0.895731
care	0.846342
anyth	0.823725
still	0.798297
know	0.771678
go	0.69192
truth	0.649986
could	0.632568
anymor	0.631169
pleas	0.592486
come	0.56207
would	0.529916
terrorist	0.520083
stori	0.515926
bottom	0.515743
exactli	0.507998
hand	0.488435
kid	0.474085
titan	0.445602
damn	0.418432
300	0.395954
lie	0.394047
build	0.362512
chang	0.350002
technolog	0.345586
rest	0.3386
around	0.33791
littl	0.334574
bull	0.331477
didnt	0.326934
enlighten	0.324228
mr	0.315839
high	0.311908
plane	0.311453
cant	0.302036
im	0.287581
payload	0.282132
well	0.279789
car	0.276
eye	0.274389
plain	0.27283
handl	0.264579
fli	0.258009
make	0.248945
page	0.248857
what	0.245964
drone	0.239942
paint	0.238058
went	0.23775
involv	0.236434
noth	0.234343
