-----------------	0	-------------------
french	10.5645
month	3.05073
investig	2.44832
prosecutor	2.07208
territori	1.89998
island	1.42183
found	1.3866
take	1.37091
took	1.2457
aviat	1.1559
wonder	1.10474
reunion	1.04483
wow	1.02652
august	1.02495
expert	0.98557
boe	0.885696
standard	0.693614
make	0.684874
figur	0.668973
clue	0.665015
vacat	0.654777
1	0.644966
crack	0.594349
airplan	0.557257
test	0.555242
determin	0.541824
franc	0.522314
knew	0.520171
come	0.499304
sent	0.491166
well	0.471111
idiot	0.450848
oversea	0.43533
conclus	0.433271
like	0.414085
europ	0.413725
rise	0.408598
umm	0.404237
us	0.401118
part	0.401092
announc	0.392928
agenc	0.37469
kind	0.36919
came	0.368644
got	0.368411
greek	0.366299
experi	0.361415
involv	0.353931
hour	0.346888
boy	0.335596
incompet	0.3347
ask	0.333555
crazi	0.321952
relat	0.320995
english	0.313539
whole	0.312744
proof	0.306557
worker	0.300746
shirt	0.299043
guess	0.294954
long	0.291554
guam	0.290272
ago	0.288104
18	0.284555
genius	0.28431
bea	0.283586
read	0.282436
depart	0.281578
held	0.272791
wine	0.269822
conclud	0.259435
15	0.259302
smart	0.258986
everyon	0.254298
monday	0.253588
obviou	0.251604
won	0.251425
minut	0.251398
usa	0.25013
instead	0.249416
week	0.244996
reduc	0.244584
european	0.242945
identifi	0.241615
work	0.240972
end	0.239406
also	0.237958
tell	0.237427
theyr	0.223888
ntsb	0.223878
wala	0.2221
circu	0.221929
12	0.217589
huh	0.214981
down	0.214272
busi	0.213927
sens	0.212828
fool	0.211537
day	0.209982
two	0.207956
-----------------	1	-------------------
piec	4.80132
water	4.55008
float	3.046
wing	2.97286
plane	2.67727
way	2.61317
land	2.34644
found	2.08198
crash	1.95772
part	1.93921
debri	1.87492
beach	1.29595
year	1.12097
damag	1.02461
control	0.995507
would	0.990138
could	0.975818
wash	0.973721
enough	0.943185
far	0.879431
drift	0.872168
bodi	0.867556
around	0.861226
mile	0.855615
one	0.852458
place	0.847234
intact	0.806947
everi	0.793072
fell	0.787456
surfac	0.734345
away	0.723806
seat	0.709052
reason	0.659112
plant	0.654869
small	0.652048
probabl	0.651789
bob	0.627218
lot	0.618538
aircraft	0.607419
came	0.604266
airplan	0.604009
larg	0.597448
caus	0.59326
sank	0.583964
mani	0.583829
impact	0.565309
barnacl	0.539769
like	0.529115
rip	0.506287
inform	0.486731
ladder	0.482952
luggag	0.48251
wreckag	0.474744
deep	0.457621
identifi	0.45366
wave	0.452979
went	0.452589
cushion	0.452232
back	0.449173
eject	0.446602
certainli	0.436864
break	0.431008
never	0.429377
section	0.422352
thing	0.421461
use	0.404837
field	0.402563
also	0.39873
els	0.394562
sink	0.390748
said	0.387338
shallow	0.382561
isnt	0.379672
indic	0.37683
didnt	0.370404
hudson	0.369599
miracl	0.369552
doesnt	0.36786
got	0.365735
either	0.359301
almost	0.356744
engin	0.356363
leav	0.354266
thousand	0.350512
evid	0.348198
there	0.340044
etc	0.339309
look	0.337432
memori	0.33714
claim	0.33608
origin	0.334467
box	0.33246
spare	0.328018
safe	0.327563
remain	0.327183
unless	0.31973
even	0.319497
cover	0.319246
simpli	0.318864
100	0.306828
-----------------	2	-------------------
find	8.38471
rest	5.57096
plane	3.79631
peopl	2.63906
mayb	2.03667
famili	1.5911
day	1.36382
closur	1.35615
