-----------------	0	-------------------
airasia	0.00466964
370	0.00310764
flaperon	0.00304138
reunion	0.00247832
dolan	0.0023704
mh17	0.00230517
kilomet	0.00223606
intens	0.00218742
seab	0.00207074
possibl	0.00201775
conclus	0.00200197
juli	0.00192419
island	0.00183797
ministri	0.00180857
fuel	0.00170193
maldiv	0.00170075
incid	0.00169954
wash	0.00168198
data	0.00167818
posit	0.00166851
atsb	0.00165038
tragic	0.00162969
shore	0.00162948
indonesian	0.00161842
event	0.00161617
somewher	0.00161532
latest	0.00159942
drop	0.00155858
call	0.0015491
still	0.00152986
day	0.00151326
refin	0.00149172
becom	0.00148996
—	0.00147184
illfat	0.00144694
oper	0.0014426
fugro	0.0014385
announc	0.00143196
far	0.00140838
proof	0.00138577
bodi	0.00138496
bureau	0.00137466
najib	0.00137306
ridg	0.00136554
capabl	0.00135664
join	0.00135013
later	0.00134884
statement	0.00131962
leader	0.00131509
contain	0.00130025
friday	0.00129645
came	0.00129349
1800	0.00129151
three	0.00129062
trigger	0.00128044
confirm	0.00127727
featur	0.001276
ongo	0.00127589
add	0.00126986
number	0.00126935
cautiou	0.00124592
land	0.00124502
spot	0.00124344
water	0.00121836
needless	0.00121764
assum	0.00121555
signal	0.0012064
elsewher	0.00120254
caus	0.00119581
abbott	0.00119252
2014	0.00119025
level	0.00118989
disast	0.00118937
characterist	0.00118664
stretch	0.00118662
complet	0.00118471
commission	0.00118346
high	0.00118309
shareef	0.00117119
squar	0.00113477
1100	0.00113369
deni	0.00113209
earli	0.00113017
august	0.00112774
larg	0.00111835
sever	0.00110891
inevit	0.0011085
jetlin	0.00110461
vast	0.0011041
fresh	0.00110032
circumst	0.00109892
septemb	0.00109729
reput	0.00109638
deep	0.00109315
respons	0.00107864
162	0.00107301
indonesia	0.00106997
group	0.00106748
acquir	0.00106633
confid	0.00106567
-----------------	1	-------------------
aziz	0.00620461
la	0.00535908
modif	0.00414003
16	0.00318795
reunion	0.00307968
suitcas	0.00291188
piec	0.00280692
afp	0.00253758
rollercoast	0.00234514
francisco	0.0023024
hundr	0.00226953
puzzl	0.00225613
toulous	0.00224881
laboratori	0.00209934
san	0.00205222
civil	0.0019816
17	0.00198104
torn	0.00192243
saint	0.00192138
compon	0.00177078
island	0.00176796
breakthrough	0.00175032
sq	0.00174302
evid	0.0017424
deputi	0.00168072
aerospac	0.0016593
miner	0.00162597
rocki	0.00162351
hotel	0.001621
number	0.00157648
airport	0.00157411
plausibl	0.00156649
flown	0.00154692
level	0.00152328
657bb	0.00151429
anoth	0.00150612
franc	0.00149905
bottl	0.00149295
comb	0.00139141
team	0.00137123
km	0.00136432
increasingli	0.00136357
alzaquan	0.00133797
flaperon	0.00133376
somehow	0.00132855
examin	0.00130031
emot	0.00129931
pari	0.00126521
discov	0.00125879
curiou	0.00125662
revers	0.00125646
warn	0.00125429
studi	0.00125344
twist	0.00124864
convinc	0.00124068
down	0.00123741
victim	0.00122647
resolv	0.00120975
beam	0.00120092
scientist	0.0011915
doom	0.00116607
extend	0.00115491
kaprawi	0.00113217
solv	0.00111738
baffl	0.00111455
hamzah	0.0011003
easi	0.00109838
wash	0.0010966
spawn	0.00109475
encas	0.00109334
500	0.00108466
metal	0.00108006
plot	0.00107822
main	0.0010727
gmt	0.0010717
asiana	0.00107068
crate	0.00106817
bb	0.00106776
dolan	0.00105728
current	0.00104575
offcours	0.00104345
center	0.00104343
reliev	0.00103958
commission	0.00103476
greatest	0.00103079
wooden	0.00103034
2013	0.00102503
soon	0.00101252
ago	0.00101194
convoy	0.00101177
escort	0.00100815
recov	0.00100714
discoveri	0.000998529
close	0.000988598
amer	0.000969097
pledg	0.000962148
addit	0.000956033
mainland	0.000950532
rise	0.000949897
primarili	0.000929094
-----------------	2	-------------------
jacc	0.00427853
vessel	0.00416527
squar	0.00402848
kilometr	0.00355587
dolan	0.00337705
li	0.00308521
son	0.00285399
winter	0.00278503
metr	0.00266596
specif	0.00251839
loss	0.00244818
accept	0.00243014
face	0.00227075
towfish	0.00212389
equip	0.00201043
seafloor	0.00200833
without	0.0019697
seab	0.00195364
expand	0.00193355
kin	0.0018814
doubl	0.00182588
map	0.00182526
previous	0.00180756
particularli	0.00170751
compens	0.0017038
million	0.00169536
remot	0.00169401
prioriti	0.00168194
reunion	0.00166375
wave	0.00163809
sonar	0.00159373
wing	0.00158382
truth	0.00157867
suffer	0.00157419
50000	0.00154383
feet	0.00154265
seventh	0.00154051
june	0.00153728
boost	0.00152678
dead	0.00152025
g	0.00149801
expans	0.00149483
choppi	0.0014909
deep	0.00147889
henc	0.00147281
complex	0.00147043
return	0.00145511
absenc	0.00144925
tow	0.00142924
oper	0.00140916
torment	0.00140814
januari	0.00140028
suspend	0.00139707
cost	0.00139144
arc	0.00137543
scene	0.00137162
39	0.00136167
declar	0.00133999
slow	0.00133266
reflect	0.00132783
zone	0.00132629
agre	0.00129726
current	0.00128581
lie	0.0012769
60	0.00126813
4000	0.00126632
difficult	0.00126491
began	0.00121024
heart	0.00120144
liow	0.00119517
suicid	0.00119023
specialist	0.00117961
due	0.00115893
beyond	0.00115551
juli	0.00114721
focu	0.00114255
undertak	0.00114202
noth	0.00112748
island	0.0011258
optimist	0.00112443
60000	0.00111718
far	0.00110143
that	0.00109578
ceas	0.00108938
thing	0.00107579
govern	0.00107447
scour	0.00106951
presum	0.00106829
use	0.00105635
mother	0.00105449
fuel	0.00104987
jointli	0.00104629
hunt	0.00104566
worsen	0.00104356
next	0.00104237
new	0.00103828
busi	0.0010302
high	0.00102715
fund	0.00102297
phase	0.00101916
-----------------	3	-------------------
maldiv	0.00506748
wing	0.0042407
piec	0.00391938
island	0.00389299
prosecutor	0.00288394
beach	0.00266831
real	0.00259658
team	0.00258775
specul	0.00250854
najib	0.00250611
shareef	0.00250421
verifi	0.00232032
discov	0.00231787
la	0.0023122
know	0.00225177
370	0.00222994
object	0.00222164
structur	0.00219447
realli	0.00218749
confirm	0.0021824
begu	0.00214593
tytelman	0.00209693
belong	0.00197056
fli	0.00187549
quick	0.00186752
boost	0.00184185
weird	0.00183477
theori	0.00183277
spark	0.00181843
fragment	0.0018013
hint	0.00179299
atol	0.00176822
rogu	0.00176326
refer	0.00171128
airplan	0.00170804
number	0.00170479
materi	0.00170359
hijack	0.0016797
seafloor	0.00167827
local	0.00166732
cleanup	0.00165717
site	0.00164493
sight	0.00163372
water	0.00161926
terror	0.00160116
sinc	0.00157925
failur	0.00154916
night	0.00154778
nobodi	0.00153623
fuel	0.00153488
zip	0.00151934
abdul	0.00150745
twometrelong	0.00149846
biggest	0.00149776
airasia	0.00147429
surviv	0.00147096
man	0.00146955
intact	0.00145091
franc	0.00145045
came	0.00144654
announc	0.00142658
primarili	0.00142637
path	0.00142264
yesterday	0.00142034
johnni	0.00141846
link	0.00140776
—	0.00140397
multin	0.00140109
noth	0.00139978
sent	0.00139968
land	0.00139747
metal	0.00139679
analys	0.00138003
crucial	0.00137057
arriv	0.00136341
coloss	0.00134832
today	0.00134514
south	0.00133237
attent	0.00132899
declar	0.00132707
veer	0.00131684
yield	0.00129778
inexplic	0.00129659
pari	0.00129394
take	0.00128924
aziz	0.00128342
largest	0.00128258
identifi	0.00124917
turn	0.0012489
news	0.00123847
claim	0.00123505
direct	0.0012305
ran	0.0012298
bottl	0.00121972
want	0.0012126
definit	0.00121053
appear	0.00120266
spot	0.00120191
conspiraci	0.0011871
dont	0.0011864
-----------------	4	-------------------
georeson	0.00363273
sq	0.00296581
compani	0.00279569
km	0.002605
held	0.00220332
reuter	0.00218762
thousand	0.00200464
barnacl	0.00200287
locat	0.00200037
ping	0.00198043
near	0.00197259
mark	0.00188933
us	0.0018756
satellit	0.00184795
perth	0.00183197
fugro	0.00173519
state	0.0017317
million	0.00170342
militari	0.00169196
surfac	0.0016652
divers	0.00165384
maritim	0.00161928
unit	0.00159778
although	0.00159373
write	0.00157756
wing	0.00157613
firm	0.00154977
carrier	0.00152599
rose	0.0015142
decis	0.00151325
partner	0.0015104
friday	0.00150158
best	0.00149223
2300	0.00149019
repres	0.00148926
narrow	0.00147733
go	0.00147164
3700	0.0014707
theyr	0.0014693
siva	0.00142988
sinc	0.00140447
fragment	0.00138748
asset	0.00137798
crew	0.00137564
variou	0.00136481
object	0.00135512
imag	0.00134408
place	0.00134319
truss	0.00133976
feast	0.0013348
obama	0.00131364
heard	0.00131108
transpond	0.00131039
york	0.00131038
shell	0.00129767
obvious	0.00129118
want	0.00128663
ralli	0.00127977
work	0.00127416
pictur	0.00127295
voic	0.00124223
vice	0.00124221
switch	0.00123432
defens	0.00122292
ship	0.00121632
look	0.00121266
relev	0.00121115
studi	0.00120453
progress	0.00118932
zone	0.00118907
meter	0.00118857
data	0.00117879
put	0.00117865
lawsuit	0.00117724
pass	0.00117693
pandey	0.00117474
copilot	0.00117015
record	0.00116975
flap	0.00116755
floor	0.0011645
stamp	0.00116404
time	0.00115407
oceanograph	0.00114835
involv	0.00113811
date	0.00112668
took	0.00112287
bay	0.00111645
new	0.00111581
tri	0.00111522
commerci	0.00111036
might	0.00110816
determin	0.00109451
reunion	0.00109345
radar	0.00108523
cross	0.00108218
verif	0.00107951
flaperon	0.00107089
potenti	0.00107028
research	0.00106956
knowledg	0.00106563
-----------------	5	-------------------
convent	0.0042857
rescu	0.00308971
pm	0.00299217
kilomet	0.00288412
chicago	0.00277983
oblig	0.00256402
legal	0.00244805
truss	0.00243548
bill	0.00206261
speak	0.00190795
negoti	0.00188942
bea	0.00186317
countri	0.0018526
privat	0.00178999
cost	0.00178385
370	0.00176465
seab	0.00174996
confirm	0.00170705
make	0.00165663
brazil	0.00165361
compens	0.0015984
within	0.00153362
phase	0.00152526
judici	0.00146066
stolen	0.00145765
pay	0.00145031
dollar	0.00142017
quit	0.00138686
past	0.00138681
airbu	0.00137841
view	0.00132664
spokeswoman	0.00131558
passport	0.0012921
statement	0.00128412
accid	0.00128207
payment	0.00127956
sourc	0.0012789
sympathi	0.00125062
indic	0.00124394
1215	0.00124375
sorrow	0.00123855
question	0.00123702
preliminari	0.00121744
port	0.00120743
conflict	0.00120609
agre	0.00119414
unit	0.00117476
suppos	0.00116822
strateg	0.00114868
