-----------------	0	-------------------
say	3.36271
like	1.71377
im	1.63928
malaysian	1.62753
wasnt	1.568
flight	1.22538
someth	1.2137
sure	1.13354
real	0.979622
sound	0.956238
mh370	0.896477
said	0.887062
expert	0.779955
cnn	0.75814
govern	0.712753
stori	0.706866
could	0.657777
report	0.649061
anoth	0.628751
moron	0.560153
trust	0.552807
ha	0.549887
make	0.544057
pm	0.543041
anymor	0.499367
news	0.482659
read	0.481585
yesterday	0.474529
doesnt	0.473327
big	0.449707
better	0.447583
day	0.443458
comment	0.443437
malaysia	0.439666
anyth	0.429383
sourc	0.422903
yahoo	0.420129
final	0.415118
proof	0.401994
know	0.391638
need	0.377351
interest	0.357048
fart	0.348116
job	0.34709
plane	0.345644
wind	0.343165
turn	0.338787
first	0.335818
also	0.334178
smash	0.333859
announc	0.333391
believ	0.33167
put	0.330992
claim	0.324612
word	0.324293
end	0.321477
debri	0.314529
must	0.312575
confirm	0.307253
fact	0.306779
next	0.303876
dumb	0.301111
isnt	0.29821
vanish	0.2932
discov	0.284992
michael	0.284627
think	0.283864
minist	0.275778
prime	0.275264
earth	0.273146
feel	0.272198
watch	0.260165
yet	0.259338
inspector	0.252682
time	0.247244
done	0.244601
provid	0.242094
save	0.24199
talk	0.239463
matt	0.239222
corrupt	0.237416
coincid	0.233032
2	0.229566
charg	0.228073
differ	0.227076
anyon	0.227038
whole	0.226994
possibl	0.222257
yeah	0.221697
problem	0.221504
wrong	0.218344
amaz	0.21736
bad	0.215437
theyr	0.213597
ok	0.209705
wouldnt	0.209569
evid	0.209513
assum	0.207774
whether	0.207033
shot	0.206398
-----------------	1	-------------------
obama	5.17229
news	2.19449
wait	1.26047
fox	0.997823
blame	0.990429
fingerprint	0.755453
lol	0.678422
start	0.601301
cant	0.580281
expert	0.546083
back	0.532953
team	0.514925
good	0.506061
intern	0.493324
go	0.440519
faux	0.435735
laden	0.42968
care	0.420596
bin	0.412162
water	0.382647
much	0.357886
print	0.354525
finger	0.354462
one	0.350682
hear	0.350499
new	0.347684
spew	0.342199
law	0.339419
guy	0.327891
support	0.320991
passeng	0.309484
bodi	0.308376
break	0.299645
get	0.294437
english	0.293533
real	0.293102
use	0.283137
declar	0.281564
color	0.28143
prais	0.276079
appar	0.273915
pretti	0.271217
martial	0.267252
outlet	0.264298
fault	0.264293
check	0.263975
test	0.263532
find	0.259741
typic	0.259632
mean	0.254512
wolf	0.251539
name	0.248758
come	0.248579
base	0.247184
bad	0.246885
17	0.240579
joke	0.235695
man	0.234071
wet	0.23228
instal	0.231511
price	0.229676
night	0.227543
help	0.227513
power	0.225163
bunch	0.220614
bradi	0.217993
blitzer	0.215605
part	0.214168
media	0.210416
load	0.208449
revolv	0.207713
billi	0.207713
jan	0.207706
dictat	0.206091
prefer	0.20179
month	0.20159
world	0.197605
seek	0.191754
time	0.182321
saw	0.180037
that	0.173853
control	0.173537
loon	0.173357
contend	0.173357
prison	0.173357
brain	0.170233
taken	0.167737
high	0.167109
everi	0.163623
later	0.1635
pilot	0.163025
alway	0.162867
cover	0.161875
island	0.159681
smarter	0.158618
garden	0.158618
aliv	0.156433
resurrect	0.154012
whole	0.149744
let	0.148637
-----------------	2	-------------------
number	4.1156
part	4.08224
serial	3.14684
believ	1.12505
plane	0.958099
probabl	0.914378
compon	0.79908
wing	0.758135
record	0.706146
confirm	0.646351
aircraft	0.639922
undoubtedli	0.620788
b777	0.503529
everi	0.490021
serious	0.451688
airplan	0.444897
unaccount	0.411569
leav	0.401274
found	0.385337
hurt	0.370646
multipl	0.353065
terror	0.347062
wasnt	0.344648
list	0.344276
plant	0.338704
trace	0.331271
consist	0.329199
stamp	0.324303
quit	0.322851
someon	0.321168
foul	0.31973
pacif	0.306802
way	0.300723
boe	0.29973
flaperon	0.293149
minutia	0.291974
play	0.278111
rule	0.277293
15	0.272391
bring	0.265439
show	0.264006
mean	0.259198
reason	0.258993
match	0.256445
realli	0.256428
747	0.245277
look	0.234285
clue	0.23287
wire	0.228838
bolt	0.228838
facil	0.228381
like	0.225456
final	0.22256
anoth	0.222262
unless	0.221498
nearli	0.221163
refer	0.220908
notic	0.220582
airlin	0.219276
300	0.216833
except	0.215714
jesu	0.210092
came	0.209334
wait	0.207247
nah	0.204549
nut	0.204392
expert	0.203219
said	0.200437
beach	0.196997
someth	0.19568
life	0.189439
mass	0.188461
everyon	0.187704
offici	0.187425
wont	0.185976
check	0.183482
franc	0.179132
scenario	0.176526
somewher	0.174928
easi	0.17142
dispel	0.16816
x	0.168149
delay	0.16812
analyz	0.168104
name	0.167513
mani	0.165219
countri	0.161272
doctor	0.16089
remov	0.160208
aviat	0.157059
understand	0.155922
larg	0.154127
minut	0.153392
billion	0.151633
inde	0.149119
door	0.149087
analysi	0.148745
possibl	0.147926
iron	0.147213
prostitut	0.14647
-----------------	3	-------------------
piec	5.03762
float	2.91378
thing	2.7384
would	1.3909
island	1.3153
wreckag	1.08138
debri	1.01612
flap	0.988832
hard	0.849508
type	0.808791
around	0.731604
strang	0.72222
wonder	0.712781
find	0.699846
wash	0.617462
els	0.607765
aircraft	0.604123
plane	0.603407
could	0.58667
show	0.573042
turn	0.570534
plant	0.569868
ken	0.542291
air	0.533409
take	0.53251
ashor	0.523292
come	0.518102
spot	0.518012
ladder	0.517535
big	0.496671
long	0.488872
particular	0.488048
knock	0.479123
part	0.47717
lot	0.475918
loos	0.462314
wrong	0.447193
thousand	0.443884
one	0.439042
togeth	0.436248
read	0.434603
duh	0.422867
see	0.421895
time	0.421659
broken	0.419735
given	0.412751
found	0.406326
dont	0.405583
sky	0.401231
month	0.396901
land	0.395944
beach	0.395862
think	0.392751
help	0.392312
current	0.381899
fall	0.37743
junk	0.374184
way	0.370307
noth	0.368888
door	0.360841
littl	0.356238
made	0.355107
ive	0.334861
stori	0.327064
differ	0.323754
reunion	0.321138
luggag	0.318461
said	0.317577
wing	0.304183
even	0.296469
good	0.2963
light	0.291154
call	0.284254
anyth	0.282568
violent	0.275459
materi	0.273777
two	0.272507
gone	0.270217
year	0.266557
bs	0.259587
ye	0.251677
physic	0.251354
daniel	0.249673
heard	0.249596
chuck	0.249265
took	0.249235
break	0.249234
mayb	0.244908
sunk	0.244425
compon	0.242603
