-----------------	0	-------------------
sea	0.0573797
time	0.0511968
money	0.0419293
china	0.0390518
wast	0.0261905
around	0.0251109
search	0.0221342
get	0.0211598
transpond	0.0202327
theyr	0.0192192
shot	0.018854
gone	0.0183309
south	0.0182722
come	0.0176255
better	0.0174897
full	0.0160245
long	0.0157794
forev	0.0147254
realiti	0.0135
take	0.0134748
turn	0.0134074
chines	0.0126533
answer	0.0123958
left	0.0121797
rug	0.0121797
swept	0.0121797
certain	0.0119925
id	0.0119925
risk	0.0119925
base	0.0112534
ago	0.0108749
wouldnt	0.0100385
plane	0.00998213
lost	0.00953562
probabl	0.00931071
goe	0.00924084
coverag	0.0083616
passeng	0.00797541
someth	0.00728488
area	0.00719875
home	0.00709716
folk	0.00706235
gawd	0.00706206
cri	0.00706199
accept	0.00687127
nobodi	0.00658165
famili	0.00646522
face	0.00619495
taken	0.00597926
true	0.00559976
crew	0.00559976
tragic	0.00546006
longest	0.00545831
shame	0.00545831
truth	0.00541806
talk	0.00538134
neutral	0.00529647
zone	0.00529647
imo	0.00528481
find	0.00512019
peanut	0.00500598
serv	0.00500598
sad	0.00500319
sure	0.00500319
daddi	0.0048877
never	0.00481719
handl	0.00473322
cnn	0.00467419
wall	0.00444903
daughter	0.0043838
everi	0.0043838
mark	0.00438379
mall	0.00438379
husband	0.00438379
isnt	0.00438379
occurr	0.00438379
gather	0.00438379
whose	0.00438379
wen	0.00438379
kelli	0.00438379
move	0.00429313
els	0.0041984
discoveri	0.00418053
agre	0.00418053
pinpoint	0.00418053
site	0.00418053
unless	0.00418053
accident	0.00418053
pointless	0.00418053
disabl	0.00418053
easi	0.00418053
stay	0.00418053
new	0.00418053
100	0.00418053
outsid	0.00416105
crash	0.00410566
phone	0.00403456
life	0.00397362
kuala	0.00395865
lumpur	0.00395865
-----------------	1	-------------------
move	0.0726522
get	0.0666885
love	0.0491607
one	0.046766
time	0.0339212
still	0.0228608
dead	0.0221578
fish	0.0216757
sleep	0.0216757
aliv	0.0206384
ye	0.0203582
delusion	0.0203582
real	0.0196049
let	0.019061
year	0.0185456
hangar	0.0178719
mourn	0.0176007
life	0.0167677
sign	0.0167301
1	0.0153507
somewher	0.0146133
simpli	0.0142966
suddenli	0.0142966
racism	0.0142966
everybodi	0.0142966
bruce	0.0142966
loss	0.0142966
without	0.0128031
wouldnt	0.0111674
least	0.0108892
accept	0.0102503
day	0.00991099
complaint	0.00872856
cia	0.00872856
disappear	0.00869262
cours	0.00773125
closur	0.00751089
cri	0.00747729
gawd	0.0074772
folk	0.00747681
isi	0.00743421
point	0.00699403
seen	0.00691554
job	0.00688107
belov	0.00681255
nightmar	0.00681165
planet	0.00675271
ten	0.00675271
heard	0.00675271
distanc	0.00675271
lost	0.00648691
show	0.0064546
sky	0.00630038
found	0.00616018
live	0.0061001
2015	0.00594403
instal	0.00594403
mechan	0.00594403
energi	0.00594403
alert	0.00594403
thousand	0.00582875
disast	0.00569236
say	0.00568883
went	0.00563271
differ	0.0054183
onth	0.00537475
batteri	0.0052375
behind	0.0052204
war	0.00520275
stori	0.00505583
fall	0.00499193
amelia	0.00497169
havent	0.00497169
hasnt	0.00497169
1937	0.00497169
human	0.0049667
continu	0.00479901
